title,link,date
16-Year-Old Arrested in Killing of Radio Journalist in Brooklyn (Published 2009) - The New York Times,https://www.nytimes.com/2009/03/26/nyregion/26weber.html,"Wed, 25 Mar 2009 07:00:00 GMT"
"Showing Style With Black and Gold, or Giving Cause for Arrest? (Published 2007) - The New York Times",https://www.nytimes.com/2007/06/18/nyregion/18colors.html,"Mon, 18 Jun 2007 07:00:00 GMT"
"Among Gay Men, Arrests Spark Concern About Being Singled Out (Published 2009) - The New York Times",https://www.nytimes.com/2009/02/15/nyregion/15arrests.html,"Sat, 14 Feb 2009 08:00:00 GMT"
U.S. Agents Arrest Father and Son in Terror Inquiry (Published 2009) - The New York Times,https://www.nytimes.com/2009/09/20/nyregion/20terror.html,"Sat, 19 Sep 2009 07:00:00 GMT"
5 Americans Are Arrested for Protest in Beijing - The New York Times,https://www.nytimes.com/2008/08/20/sports/olympics/20china.html,"Tue, 19 Aug 2008 07:00:00 GMT"
"Actress's Death Is Ruled Murder, and Worker in Building Is Charged (Published 2006) - The New York Times",https://www.nytimes.com/2006/11/07/nyregion/07actress.html,"Tue, 07 Nov 2006 08:00:00 GMT"
Mother and Companion Charged With Murder in Jayden Lenescar's Death - The New York Times,https://www.nytimes.com/2009/10/25/nyregion/25boy.html,"Sat, 24 Oct 2009 07:00:00 GMT"
OJ Simpson Arrested and Charged With Felonies - The New York Times,https://www.nytimes.com/2007/09/17/us/17simpson.html,"Mon, 17 Sep 2007 07:00:00 GMT"
Sergeant Who Arrested Professor Defends Actions - The New York Times,https://www.nytimes.com/2009/07/24/us/24gates.html,"Thu, 23 Jul 2009 07:00:00 GMT"
Leader of Polygamist Mormon Sect Is Arrested - The New York Times,https://www.nytimes.com/2006/08/30/us/30polygamy.html,"Wed, 30 Aug 2006 07:00:00 GMT"
"After Arrest, James O'Keefe's Tactics Are Questioned - The New York Times",https://www.nytimes.com/2010/01/28/us/politics/28landrieu.html,"Wed, 27 Jan 2010 08:00:00 GMT"
Gotti Arrested in Murder Conspiracy - The New York Times,https://www.nytimes.com/2008/08/06/nyregion/06gotti.html,"Tue, 05 Aug 2008 07:00:00 GMT"
'Preppy Killer' in Drug Arrest - The New York Times,https://www.nytimes.com/2007/10/23/nyregion/23cnd-chambers.html,"Tue, 23 Oct 2007 07:00:00 GMT"
Police Reveal Few Details of Arrest in 2006 Killing (Published 2008) - The New York Times,https://www.nytimes.com/2008/03/25/nyregion/25kissel.html,"Tue, 25 Mar 2008 07:00:00 GMT"
Police Arrest 22 at New School Building - The New York Times - The New York Times,https://cityroom.blogs.nytimes.com/2009/04/10/students-occupy-new-school-building-again/,"Fri, 10 Apr 2009 07:00:00 GMT"
City Police Spied Broadly Before GOP Convention - The New York Times,https://www.nytimes.com/2007/03/25/nyregion/25infiltrate.html,"Sun, 25 Mar 2007 07:00:00 GMT"
"N.Y. Bomb Plot Suspects Acted Alone, Police Say (Published 2009) - The New York Times",https://www.nytimes.com/2009/05/22/nyregion/22terror.html,"Thu, 21 May 2009 07:00:00 GMT"
Mass Arrest of Brooklyn Youths Spotlights Tactics - The New York Times,https://www.nytimes.com/2007/06/24/nyregion/24arrests.html,"Sun, 24 Jun 2007 07:00:00 GMT"
Union Carbide Defends Chief in Bhopal Gas Disaster - The New York Times,https://www.nytimes.com/2009/08/03/business/global/03bhopal.html,"Sun, 02 Aug 2009 07:00:00 GMT"
"In Ambitious Assault on Brooklyn Drug Trade, Limited Victory (Published 2008) - The New York Times",https://www.nytimes.com/2008/04/06/nyregion/06arrests.html,"Sun, 06 Apr 2008 07:00:00 GMT"
"Slain in Prison, but Once Celebrated as a Fugitive (Published 2008) - The New York Times",https://www.nytimes.com/2008/02/22/nyregion/22davis.html,"Fri, 22 Feb 2008 08:00:00 GMT"
